Supplementary Data to
NGRIP Members, Nature 431, 147 - 151 (09 September 2004); doi:10.1038/nature02805


High resolution Climate Record of the Northern Hemisphere back into the last Interglacial Period

North Greenland Ice-Core Project (NorthGRIP) Members

In this text file we list the NGRIP oxygen 18 values as 50 year mean values
using the same preliminary age scale as in Figure 2c of the accompanying paper.
Data was measured against VSMOW at the Niels Bohr Institute for Astronomy, 
Physics and Geophysics, Department of Geophysics, University of Copenhagen.  
Accuracy of individual measurements is 0.07 %. 
The initial isotope data series is based on 5 cm continuous sampling from
surface to bottom of the core, or 61100 individual measurements.
Improved dating of the NGRIP core and additional data will be posted on 
our web site http://www.glaciology.gfy.ku.dk/ngrip/index_eng.htm when 
it becomes available.

Copenhagen June 6, 2004.
Sigfus J. Johnsen <sigfus@gfy.ku.dk>.


ss09sea age       Del 18O
years BP 2000	permille
      .000	  -35.19
    50.000	  -35.19
    50.000	  -34.83
   100.000	  -34.83
   100.000	  -35.05
   150.000	  -35.05
   150.000	  -35.45
   200.000	  -35.45
   200.000	  -35.42
   250.000	  -35.42
   250.000	  -35.63
   300.000	  -35.63
   300.000	  -35.80
   350.000	  -35.80
   350.000	  -35.62
   400.000	  -35.62
   400.000	  -35.48
   450.000	  -35.48
   450.000	  -35.36
   500.000	  -35.36
   500.000	  -35.41
   550.000	  -35.41
   550.000	  -35.10
   600.000	  -35.10
   600.000	  -35.27
   650.000	  -35.27
   650.000	  -35.67
   700.000	  -35.67
   700.000	  -35.33
   750.000	  -35.33
   750.000	  -35.38
   800.000	  -35.38
   800.000	  -35.63
   850.000	  -35.63
   850.000	  -35.49
   900.000	  -35.49
   900.000	  -35.30
   950.000	  -35.30
   950.000	  -35.66
  1000.000	  -35.66
  1000.000	  -35.01
  1050.000	  -35.01
  1050.000	  -35.09
  1100.000	  -35.09
  1100.000	  -35.58
  1150.000	  -35.58
  1150.000	  -35.51
  1200.000	  -35.51
  1200.000	  -35.34
  1250.000	  -35.34
  1250.000	  -35.27
  1300.000	  -35.27
  1300.000	  -35.26
  1350.000	  -35.26
  1350.000	  -35.09
  1400.000	  -35.09
  1400.000	  -35.20
  1450.000	  -35.20
  1450.000	  -35.09
  1500.000	  -35.09
  1500.000	  -35.68
  1550.000	  -35.68
  1550.000	  -35.42
  1600.000	  -35.42
  1600.000	  -34.84
  1650.000	  -34.84
  1650.000	  -35.68
  1700.000	  -35.68
  1700.000	  -35.22
  1750.000	  -35.22
  1750.000	  -35.72
  1800.000	  -35.72
  1800.000	  -35.43
  1850.000	  -35.43
  1850.000	  -35.19
  1900.000	  -35.19
  1900.000	  -34.66
  1950.000	  -34.66
  1950.000	  -35.03
  2000.000	  -35.03
  2000.000	  -35.00
  2050.000	  -35.00
  2050.000	  -35.12
  2100.000	  -35.12
  2100.000	  -35.19
  2150.000	  -35.19
  2150.000	  -35.60
  2200.000	  -35.60
  2200.000	  -35.33
  2250.000	  -35.33
  2250.000	  -34.77
  2300.000	  -34.77
  2300.000	  -34.99
  2350.000	  -34.99
  2350.000	  -35.10
  2400.000	  -35.10
  2400.000	  -34.93
  2450.000	  -34.93
  2450.000	  -35.65
  2500.000	  -35.65
  2500.000	  -35.25
  2550.000	  -35.25
  2550.000	  -35.11
  2600.000	  -35.11
  2600.000	  -35.29
  2650.000	  -35.29
  2650.000	  -35.32
  2700.000	  -35.32
  2700.000	  -35.19
  2750.000	  -35.19
  2750.000	  -34.86
  2800.000	  -34.86
  2800.000	  -34.96
  2850.000	  -34.96
  2850.000	  -35.14
  2900.000	  -35.14
  2900.000	  -35.03
  2950.000	  -35.03
  2950.000	  -34.64
  3000.000	  -34.64
  3000.000	  -34.98
  3050.000	  -34.98
  3050.000	  -35.19
  3100.000	  -35.19
  3100.000	  -34.91
  3150.000	  -34.91
  3150.000	  -35.02
  3200.000	  -35.02
  3200.000	  -35.17
  3250.000	  -35.17
  3250.000	  -35.08
  3300.000	  -35.08
  3300.000	  -35.15
  3350.000	  -35.15
  3350.000	  -34.91
  3400.000	  -34.91
  3400.000	  -34.81
  3450.000	  -34.81
  3450.000	  -35.07
  3500.000	  -35.07
  3500.000	  -35.00
  3550.000	  -35.00
  3550.000	  -34.96
  3600.000	  -34.96
  3600.000	  -35.13
  3650.000	  -35.13
  3650.000	  -34.49
  3700.000	  -34.49
  3700.000	  -34.63
  3750.000	  -34.63
  3750.000	  -35.06
  3800.000	  -35.06
  3800.000	  -35.05
  3850.000	  -35.05
  3850.000	  -35.21
  3900.000	  -35.21
  3900.000	  -35.11
  3950.000	  -35.11
  3950.000	  -35.07
  4000.000	  -35.07
  4000.000	  -34.73
  4050.000	  -34.73
  4050.000	  -35.02
  4100.000	  -35.02
  4100.000	  -35.25
  4150.000	  -35.25
  4150.000	  -34.96
  4200.000	  -34.96
  4200.000	  -34.65
  4250.000	  -34.65
  4250.000	  -35.19
  4300.000	  -35.19
  4300.000	  -34.65
  4350.000	  -34.65
  4350.000	  -35.10
  4400.000	  -35.10
  4400.000	  -34.99
  4450.000	  -34.99
  4450.000	  -34.65
  4500.000	  -34.65
  4500.000	  -35.00
  4550.000	  -35.00
  4550.000	  -34.45
  4600.000	  -34.45
  4600.000	  -34.87
  4650.000	  -34.87
  4650.000	  -35.05
  4700.000	  -35.05
  4700.000	  -34.78
  4750.000	  -34.78
  4750.000	  -34.60
  4800.000	  -34.60
  4800.000	  -34.85
  4850.000	  -34.85
  4850.000	  -34.74
  4900.000	  -34.74
  4900.000	  -34.40
  4950.000	  -34.40
  4950.000	  -34.72
  5000.000	  -34.72
  5000.000	  -34.76
  5050.000	  -34.76
  5050.000	  -34.65
  5100.000	  -34.65
  5100.000	  -34.98
  5150.000	  -34.98
  5150.000	  -34.41
  5200.000	  -34.41
  5200.000	  -34.68
  5250.000	  -34.68
  5250.000	  -35.09
  5300.000	  -35.09
  5300.000	  -34.97
  5350.000	  -34.97
  5350.000	  -35.02
  5400.000	  -35.02
  5400.000	  -34.64
  5450.000	  -34.64
  5450.000	  -34.56
  5500.000	  -34.56
  5500.000	  -34.51
  5550.000	  -34.51
  5550.000	  -34.82
  5600.000	  -34.82
  5600.000	  -34.63
  5650.000	  -34.63
  5650.000	  -35.09
  5700.000	  -35.09
  5700.000	  -34.75
  5750.000	  -34.75
  5750.000	  -34.62
  5800.000	  -34.62
  5800.000	  -34.82
  5850.000	  -34.82
  5850.000	  -34.22
  5900.000	  -34.22
  5900.000	  -34.73
  5950.000	  -34.73
  5950.000	  -34.96
  6000.000	  -34.96
  6000.000	  -34.93
  6050.000	  -34.93
  6050.000	  -34.83
  6100.000	  -34.83
  6100.000	  -34.40
  6150.000	  -34.40
  6150.000	  -34.81
  6200.000	  -34.81
  6200.000	  -34.77
  6250.000	  -34.77
  6250.000	  -34.80
  6300.000	  -34.80
  6300.000	  -34.78
  6350.000	  -34.78
  6350.000	  -34.65
  6400.000	  -34.65
  6400.000	  -34.35
  6450.000	  -34.35
  6450.000	  -34.55
  6500.000	  -34.55
  6500.000	  -35.08
  6550.000	  -35.08
  6550.000	  -34.47
  6600.000	  -34.47
  6600.000	  -34.61
  6650.000	  -34.61
  6650.000	  -34.54
  6700.000	  -34.54
  6700.000	  -34.51
  6750.000	  -34.51
  6750.000	  -34.72
  6800.000	  -34.72
  6800.000	  -34.66
  6850.000	  -34.66
  6850.000	  -34.54
  6900.000	  -34.54
  6900.000	  -34.77
  6950.000	  -34.77
  6950.000	  -34.60
  7000.000	  -34.60
  7000.000	  -34.79
  7050.000	  -34.79
  7050.000	  -34.70
  7100.000	  -34.70
  7100.000	  -34.81
  7150.000	  -34.81
  7150.000	  -34.82
  7200.000	  -34.82
  7200.000	  -34.61
  7250.000	  -34.61
  7250.000	  -34.91
  7300.000	  -34.91
  7300.000	  -34.69
  7350.000	  -34.69
  7350.000	  -34.43
  7400.000	  -34.43
  7400.000	  -34.41
  7450.000	  -34.41
  7450.000	  -34.52
  7500.000	  -34.52
  7500.000	  -34.69
  7550.000	  -34.69
  7550.000	  -34.23
  7600.000	  -34.23
  7600.000	  -34.33
  7650.000	  -34.33
  7650.000	  -34.39
  7700.000	  -34.39
  7700.000	  -34.42
  7750.000	  -34.42
  7750.000	  -34.06
  7800.000	  -34.06
  7800.000	  -34.25
  7850.000	  -34.25
  7850.000	  -34.89
  7900.000	  -34.89
  7900.000	  -34.54
  7950.000	  -34.54
  7950.000	  -34.13
  8000.000	  -34.13
  8000.000	  -34.63
  8050.000	  -34.63
  8050.000	  -34.65
  8100.000	  -34.65
  8100.000	  -35.51
  8150.000	  -35.51
  8150.000	  -35.98
  8200.000	  -35.98
  8200.000	  -35.39
  8250.000	  -35.39
  8250.000	  -34.60
  8300.000	  -34.60
  8300.000	  -34.69
  8350.000	  -34.69
  8350.000	  -35.13
  8400.000	  -35.13
  8400.000	  -34.77
  8450.000	  -34.77
  8450.000	  -34.60
  8500.000	  -34.60
  8500.000	  -34.71
  8550.000	  -34.71
  8550.000	  -34.46
  8600.000	  -34.46
  8600.000	  -35.12
  8650.000	  -35.12
  8650.000	  -34.75
  8700.000	  -34.75
  8700.000	  -34.82
  8750.000	  -34.82
  8750.000	  -35.05
  8800.000	  -35.05
  8800.000	  -34.67
  8850.000	  -34.67
  8850.000	  -34.30
  8900.000	  -34.30
  8900.000	  -34.71
  8950.000	  -34.71
  8950.000	  -34.66
  9000.000	  -34.66
  9000.000	  -35.22
  9050.000	  -35.22
  9050.000	  -34.78
  9100.000	  -34.78
  9100.000	  -34.49
  9150.000	  -34.49
  9150.000	  -34.81
  9200.000	  -34.81
  9200.000	  -35.48
  9250.000	  -35.48
  9250.000	  -35.41
  9300.000	  -35.41
  9300.000	  -34.78
  9350.000	  -34.78
  9350.000	  -34.87
  9400.000	  -34.87
  9400.000	  -35.12
  9450.000	  -35.12
  9450.000	  -34.83
  9500.000	  -34.83
  9500.000	  -34.91
  9550.000	  -34.91
  9550.000	  -34.86
  9600.000	  -34.86
  9600.000	  -34.86
  9650.000	  -34.86
  9650.000	  -34.70
  9700.000	  -34.70
  9700.000	  -34.64
  9750.000	  -34.64
  9750.000	  -35.15
  9800.000	  -35.15
  9800.000	  -34.99
  9850.000	  -34.99
  9850.000	  -35.13
